level,itl,name,year,GVA per Hour,Change in GVA per hour
ITL2,TLM5,North Eastern Scotland,2008,31,95.4
ITL3,TLM50,Aberdeen City and Aberdeenshire,2008,31,95.9
ITL2,TLM6,Highlands and Islands,2008,24.7,85.7
ITL3,TLM61,"Caithness and Sutherland, and Ross and Cromarty",2008,22.6,76.9
ITL3,TLM62,"Inverness and Nairn, Moray, Badenoch and Strathspey",2008,24.8,81
ITL3,TLM63,"Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute",2008,25.1,95.6
ITL3,TLM64,Na h-Eileanan Siar,2008,24.5,90.7
ITL3,TLM65,Orkney Islands,2008,28.8,120.3
ITL3,TLM66,Shetland Islands,2008,27.2,93.3
ITL2,TLM7,Eastern Scotland,2008,28.4,87.8
ITL3,TLM71,Angus and Dundee City,2008,23.5,85.2
ITL3,TLM72,Clackmannanshire and Fife,2008,26.5,88.3
ITL3,TLM73,East Lothian and Midlothian,2008,23,78.4
ITL3,TLM75,City of Edinburgh,2008,32.2,88.4
ITL3,TLM76,Falkirk,2008,30.7,97.9
ITL3,TLM77,"Perth and Kinross, and Stirling",2008,28.1,97.8
ITL3,TLM78,West Lothian,2008,26.4,79.5
ITL2,TLM8,West Central Scotland,2008,24.9,84.5
ITL3,TLM81,"East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond",2008,24.6,84.1
ITL3,TLM82,Glasgow City,2008,24.7,89.7
ITL3,TLM83,"Inverclyde, East Renfrewshire, and Renfrewshire",2008,24.4,79.3
ITL3,TLM84,North Lanarkshire,2008,26.1,76.3
ITL2,TLM9,Southern Scotland,2008,25.5,96.7
ITL3,TLM91,Scottish Borders,2008,22.8,90.7
ITL3,TLM92,Dumfries and Galloway,2008,25.4,94.3
ITL3,TLM93,East Ayrshire and North Ayrshire mainland,2008,26,107.2
ITL3,TLM94,South Ayrshire,2008,24.8,91.9
ITL3,TLM95,South Lanarkshire,2008,26.5,97.2
ITL1,TLN,Northern Ireland,2008,23,93.9
ITL2,TLN0,Northern Ireland,2008,23,93.9
ITL3,TLN06,Belfast,2008,23.5,92.1
ITL3,TLN07,"Armagh City, Banbridge and Craigavon",2008,19.9,90.1
ITL3,TLN08,"Newry, Mourne and Down",2008,24.8,102.3
ITL3,TLN09,Ards and North Down,2008,23.7,86.2
ITL3,TLN0A,Derry City and Strabane,2008,21.1,89.3
ITL3,TLN0B,Mid Ulster,2008,29.3,107.7
ITL3,TLN0C,Causeway Coast and Glens,2008,25.3,96.3
ITL3,TLN0D,Antrim and Newtownabbey,2008,26.9,109
ITL3,TLN0E,Lisburn and Castlereagh,2008,23.4,85.1
ITL3,TLN0F,Mid and East Antrim,2008,29.4,145.1
ITL3,TLN0G,Fermanagh and Omagh,2008,24.7,84.7
UK,UKX,United Kingdom less Extra-Regio,2009,29.2,92.7
Other,TLB,England,2009,29.8,93.2
ITL1,TLC,North East,2009,25.3,87.8
ITL2,TLC1,Tees Valley and Durham,2009,26.3,93.6
ITL3,TLC11,Hartlepool and Stockton-on-Tees,2009,28.5,94.9
ITL3,TLC12,South Teesside,2009,23.8,96.1
ITL3,TLC13,Darlington,2009,25.3,63.5
ITL3,TLC14,Durham CC,2009,26.6,104.9
ITL2,TLC2,"Northumberland, and Tyne and Wear",2009,24.6,83.8
ITL3,TLC21,Northumberland,2009,21.9,87.9
ITL3,TLC22,Tyneside,2009,24.6,82.9
ITL3,TLC23,Sunderland,2009,27.6,83.2
ITL1,TLD,North West,2009,27,96.1
ITL2,TLD1,Cumbria,2009,24.5,93.6
ITL3,TLD11,West Cumbria,2009,24.8,97.3
ITL3,TLD12,East Cumbria,2009,24.4,94.7
ITL2,TLD3,Greater Manchester,2009,26.7,93.7
ITL3,TLD33,Manchester,2009,30.1,102.3
ITL3,TLD34,Greater Manchester South West,2009,29.6,88.4
ITL3,TLD35,Greater Manchester South East,2009,25.1,96.4
ITL3,TLD36,Greater Manchester North West,2009,23.6,101.3
ITL3,TLD37,Greater Manchester North East,2009,23.2,89.8
ITL2,TLD4,Lancashire,2009,24.7,91.4
ITL3,TLD41,Blackburn with Darwen,2009,21.4,88.3
ITL3,TLD42,Blackpool,2009,20,81.1
ITL3,TLD44,Lancaster and Wyre,2009,22.8,76.9
ITL3,TLD45,Mid Lancashire,2009,28.5,98.8
ITL3,TLD46,East Lancashire,2009,24.5,98.2
ITL3,TLD47,Chorley and West Lancashire,2009,23.1,88.4
ITL2,TLD6,Cheshire,2009,31.7,98.8
ITL3,TLD61,Warrington,2009,28.2,87
ITL3,TLD62,Cheshire East,2009,33.5,97.6
ITL3,TLD63,Cheshire West and Chester,2009,32.5,108.5
ITL2,TLD7,Merseyside,2009,27.6,106
ITL3,TLD71,East Merseyside,2009,29,104.1
ITL3,TLD72,Liverpool,2009,28.7,111.2
ITL3,TLD73,Sefton,2009,24.2,110
ITL3,TLD74,Wirral,2009,25.8,101.6
ITL1,TLE,Yorkshire and The Humber,2009,25.8,95
ITL2,TLE1,East Yorkshire and Northern Lincolnshire,2009,27,100.1
ITL3,TLE11,"Kingston upon Hull, City of",2009,27.6,112.2
ITL3,TLE12,East Riding of Yorkshire,2009,27.1,98.2
ITL3,TLE13,North and North East Lincolnshire,2009,26.5,98.1
ITL2,TLE2,North Yorkshire,2009,26.3,93.2
ITL3,TLE21,York,2009,30.9,101.9
ITL3,TLE22,North Yorkshire CC,2009,24.7,88.6
ITL2,TLE3,South Yorkshire,2009,24.2,95.2
ITL3,TLE31,"Barnsley, Doncaster and Rotherham",2009,22.2,91.9
ITL3,TLE32,Sheffield,2009,26.7,95.5
ITL2,TLE4,West Yorkshire,2009,25.9,93.7
ITL3,TLE41,Bradford,2009,23.1,91.9
ITL3,TLE42,Leeds,2009,30.5,99.4
ITL3,TLE44,Calderdale and Kirklees,2009,21.7,89.9
ITL3,TLE45,Wakefield,2009,24.2,93.6
ITL1,TLF,East Midlands,2009,25.1,94.6
ITL2,TLF1,Derbyshire and Nottinghamshire,2009,25.4,96.9
ITL3,TLF11,Derby,2009,31.9,128.2
ITL3,TLF12,East Derbyshire,2009,25,95.5
ITL3,TLF13,South and West Derbyshire,2009,23.6,91
ITL3,TLF14,Nottingham,2009,25,93.3
ITL3,TLF15,North Nottinghamshire,2009,23.2,96.6
ITL3,TLF16,South Nottinghamshire,2009,26.5,80.2
ITL2,TLF2,"Leicestershire, Rutland and Northamptonshire",2009,25.4,94.2
ITL3,TLF21,Leicester,2009,23.6,85.1
ITL3,TLF22,Leicestershire CC and Rutland,2009,27.5,96.6
ITL3,TLF24,West Northamptonshire,2009,24.8,93.5
ITL3,TLF25,North Northamptonshire,2009,23.8,113.5
ITL2,TLF3,Lincolnshire,2009,23.2,89.2
ITL3,TLF30,Lincolnshire CC,2009,23.2,89.7
ITL1,TLG,West Midlands,2009,25,90.5
ITL2,TLG1,"Herefordshire, Worcestershire and Warwickshire",2009,24.9,84
ITL3,TLG11,"Herefordshire, County of",2009,19.8,86.2
ITL3,TLG12,Worcestershire CC,2009,24.9,92.9
ITL3,TLG13,Warwickshire CC,2009,26.6,81.5
ITL2,TLG2,Shropshire and Staffordshire,2009,24.4,92.7
ITL3,TLG21,Telford and Wrekin,2009,24.8,95.9
ITL3,TLG22,Shropshire CC,2009,23.6,97.2
ITL3,TLG23,Stoke-on-Trent,2009,23.7,82.4
ITL3,TLG24,Staffordshire CC,2009,24.7,94.8
ITL2,TLG3,West Midlands,2009,25.5,93
ITL3,TLG31,Birmingham,2009,26.2,99.3
ITL3,TLG32,Solihull,2009,34.3,99.4
ITL3,TLG33,Coventry,2009,29.9,98.6
ITL3,TLG36,Dudley,2009,21.3,89.2
ITL3,TLG37,Sandwell,2009,22.7,87.7
ITL3,TLG38,Walsall,2009,21,96.5
ITL3,TLG39,Wolverhampton,2009,20.8,84
ITL1,TLH,East,2009,28.1,94.8
ITL2,TLH1,East Anglia,2009,26.9,93.1
ITL3,TLH11,Peterborough,2009,29.5,102.6
ITL3,TLH12,Cambridgeshire CC,2009,28.3,93.7
ITL3,TLH14,Suffolk CC,2009,27.5,90.2
ITL3,TLH15,Norwich and East Norfolk,2009,24.2,86.7
ITL3,TLH16,North and West Norfolk,2009,24.3,100.6
ITL3,TLH17,Breckland and South Norfolk,2009,25.7,102.2
ITL2,TLH2,Bedfordshire and Hertfordshire,2009,30,97.8
ITL3,TLH21,Luton,2009,28,91.2
ITL3,TLH23,Hertfordshire CC,2009,31.4,99.4
ITL3,TLH24,Bedford,2009,26.9,102
ITL3,TLH25,Central Bedfordshire,2009,26.3,97
ITL2,TLH3,Essex,2009,27.8,93.9
ITL3,TLH31,Southend-on-Sea,2009,22.6,106.6
ITL3,TLH32,Thurrock,2009,29.5,88.5
ITL3,TLH34,Essex Haven Gateway,2009,25.3,87.7
ITL3,TLH35,West Essex,2009,31.9,108.4
ITL3,TLH36,Heart of Essex,2009,28.6,86.7
ITL3,TLH37,Essex Thames Gateway,2009,28.1,97.2
ITL1,TLI,London,2009,39.8,95.7
ITL2,TLI3,Inner London - West,2009,44.2,95.4
ITL3,TLI31,Camden and City of London,2009,55,112.6
ITL3,TLI32,Westminster,2009,41.6,87.7
ITL3,TLI33,Kensington & Chelsea and Hammersmith & Fulham,2009,28.9,77
ITL3,TLI34,Wandsworth,2009,26.5,91.8
ITL2,TLI4,Inner London - East,2009,40,98.8
ITL3,TLI41,Hackney and Newham,2009,30.1,89.5
ITL3,TLI42,Tower Hamlets,2009,64.1,132.3
ITL3,TLI43,Haringey and Islington,2009,37,82.8
ITL3,TLI44,Lewisham and Southwark,2009,30.5,91
ITL3,TLI45,Lambeth,2009,38.5,95.9
ITL2,TLI5,Outer London - East and North East,2009,35,99.4
ITL3,TLI51,Bexley and Greenwich,2009,38.7,102.6
ITL3,TLI52,Barking & Dagenham and Havering,2009,35.2,100.7
ITL3,TLI53,Redbridge and Waltham Forest,2009,32.3,102.7
ITL3,TLI54,Enfield,2009,33.6,94.5
ITL2,TLI6,Outer London - South,2009,34.5,101.7
ITL3,TLI61,Bromley,2009,36.4,116.3
ITL3,TLI62,Croydon,2009,34.1,80.3
ITL3,TLI63,"Merton, Kingston upon Thames and Sutton",2009,33.8,111.9
ITL2,TLI7,Outer London - West and North West,2009,35.5,91
ITL3,TLI71,Barnet,2009,29.2,90.7
ITL3,TLI72,Brent,2009,32.2,99.4
ITL3,TLI73,Ealing,2009,31.7,89.4
ITL3,TLI74,Harrow and Hillingdon,2009,33.9,88.2
ITL3,TLI75,Hounslow and Richmond upon Thames,2009,45.6,97.8
ITL1,TLJ,South East,2009,31.9,91.3
ITL2,TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2009,35,88.7
ITL3,TLJ11,Berkshire,2009,40.1,78.9
ITL3,TLJ12,Milton Keynes,2009,33.8,94.4
ITL3,TLJ13,Buckinghamshire CC,2009,32.4,98.8
ITL3,TLJ14,Oxfordshire CC,2009,30,100.1
ITL2,TLJ2,"Surrey, East and West Sussex",2009,31.4,95.9
ITL3,TLJ21,Brighton and Hove,2009,27.2,84.3
ITL3,TLJ22,East Sussex CC,2009,22,100.6
ITL3,TLJ25,West Surrey,2009,35.2,89.1
ITL3,TLJ26,East Surrey,2009,42.4,118.7
ITL3,TLJ27,West Sussex (South West),2009,27.3,93
ITL3,TLJ28,West Sussex (North East),2009,29.1,100.7
ITL2,TLJ3,Hampshire and Isle of Wight,2009,31.6,86.9
ITL3,TLJ31,Portsmouth,2009,28.4,85.8
ITL3,TLJ32,Southampton,2009,33,83.8
ITL3,TLJ34,Isle of Wight,2009,23.4,92.8
ITL3,TLJ35,South Hampshire,2009,29,92.4
ITL3,TLJ36,Central Hampshire,2009,29.1,83
ITL3,TLJ37,North Hampshire,2009,41.7,81.5
ITL2,TLJ4,Kent,2009,27.9,94.6
ITL3,TLJ41,Medway,2009,29.1,94.7
ITL3,TLJ43,Kent Thames Gateway,2009,27.3,89.2
ITL3,TLJ44,East Kent,2009,25.6,104.2
ITL3,TLJ45,Mid Kent,2009,25,100.2
ITL3,TLJ46,West Kent,2009,33,89.2
ITL1,TLK,South West,2009,26.8,94.1
ITL2,TLK1,"Gloucestershire, Wiltshire and Bath/Bristol Area",2009,29.8,95
ITL3,TLK11,"Bristol, City of",2009,27.2,102.4
ITL3,TLK12,"Bath and North East Somerset, North Somerset and South Gloucestershire",2009,29.8,86.7
ITL3,TLK13,Gloucestershire CC,2009,29,94.7
ITL3,TLK14,Swindon,2009,40.5,95
ITL3,TLK15,Wiltshire,2009,28.2,98
ITL2,TLK2,Dorset and Somerset,2009,25.1,98
ITL3,TLK23,Somerset CC,2009,24,100
ITL3,TLK24,"Bournemouth, Christchurch and Poole",2009,27.3,102.8
ITL3,TLK25,Dorset,2009,24.2,93.7
ITL2,TLK3,Cornwall and Isles of Scilly,2009,21.3,88.3
ITL3,TLK30,Cornwall and Isles of Scilly,2009,21.3,88.8
ITL2,TLK4,Devon,2009,24.5,90.9
ITL3,TLK41,Plymouth,2009,25.8,99.7
ITL3,TLK42,Torbay,2009,22.1,109.7
ITL3,TLK43,Devon CC,2009,24.4,88
ITL1,TLL,Wales,2009,24,88.5
ITL2,TLL1,West Wales and The Valleys,2009,23,86.5
ITL3,TLL11,Isle of Anglesey,2009,22.1,89.5
ITL3,TLL12,Gwynedd,2009,22,88.9
ITL3,TLL13,Conwy and Denbighshire,2009,20.3,91.9
ITL3,TLL14,South West Wales,2009,20.7,83
ITL3,TLL15,Central Valleys,2009,25.3,84.8
ITL3,TLL16,Gwent Valleys,2009,22.6,84.3
ITL3,TLL17,Bridgend and Neath Port Talbot,2009,24.9,85.3
ITL3,TLL18,Swansea,2009,25.6,88.5
ITL2,TLL2,East Wales,2009,25.4,91.5
ITL3,TLL21,Monmouthshire and Newport,2009,24.5,88.9
ITL3,TLL22,Cardiff and Vale of Glamorgan,2009,27.4,90.2
ITL3,TLL23,Flintshire and Wrexham,2009,26.4,93.8
ITL3,TLL24,Powys,2009,17.6,101.9
ITL1,TLM,Scotland,2009,27.9,89.4
ITL2,TLM5,North Eastern Scotland,2009,32.3,97.6
ITL3,TLM50,Aberdeen City and Aberdeenshire,2009,32.3,98
ITL2,TLM6,Highlands and Islands,2009,25.9,85.4
ITL3,TLM61,"Caithness and Sutherland, and Ross and Cromarty",2009,23.6,77.4
ITL3,TLM62,"Inverness and Nairn, Moray, Badenoch and Strathspey",2009,26.2,84.4
ITL3,TLM63,"Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute",2009,26,91.9
ITL3,TLM64,Na h-Eileanan Siar,2009,25.7,89.4
ITL3,TLM65,Orkney Islands,2009,29.3,103.5
ITL3,TLM66,Shetland Islands,2009,27.6,86
ITL2,TLM7,Eastern Scotland,2009,29.3,87
ITL3,TLM71,Angus and Dundee City,2009,23.9,79.1
ITL3,TLM72,Clackmannanshire and Fife,2009,27.1,83.1
ITL3,TLM73,East Lothian and Midlothian,2009,23.8,80
ITL3,TLM75,City of Edinburgh,2009,33.4,90.3
ITL3,TLM76,Falkirk,2009,31.9,102.7
ITL3,TLM77,"Perth and Kinross, and Stirling",2009,28.5,93.1
ITL3,TLM78,West Lothian,2009,27,79.8
ITL2,TLM8,West Central Scotland,2009,25.8,87.4
ITL3,TLM81,"East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond",2009,25.6,87.7
ITL3,TLM82,Glasgow City,2009,25.6,91.5
ITL3,TLM83,"Inverclyde, East Renfrewshire, and Renfrewshire",2009,25.1,81.5
ITL3,TLM84,North Lanarkshire,2009,27.3,81.8
ITL2,TLM9,Southern Scotland,2009,26.4,97.9
ITL3,TLM91,Scottish Borders,2009,23.6,95.5
ITL3,TLM92,Dumfries and Galloway,2009,25.9,92.6
ITL3,TLM93,East Ayrshire and North Ayrshire mainland,2009,26.7,106.5
ITL3,TLM94,South Ayrshire,2009,25.9,98.2
ITL3,TLM95,South Lanarkshire,2009,27.7,97.5
ITL1,TLN,Northern Ireland,2009,23.4,92.1
ITL2,TLN0,Northern Ireland,2009,23.4,92.1
ITL3,TLN06,Belfast,2009,23.5,82.4
ITL3,TLN07,"Armagh City, Banbridge and Craigavon",2009,20.1,87.2
ITL3,TLN08,"Newry, Mourne and Down",2009,25.1,104.8
ITL3,TLN09,Ards and North Down,2009,24.2,95.7
ITL3,TLN0A,Derry City and Strabane,2009,20,68.5
ITL3,TLN0B,Mid Ulster,2009,29.3,112.9
ITL3,TLN0C,Causeway Coast and Glens,2009,27,109.5
ITL3,TLN0D,Antrim and Newtownabbey,2009,26.9,87.1
ITL3,TLN0E,Lisburn and Castlereagh,2009,24.6,95.3
ITL3,TLN0F,Mid and East Antrim,2009,29.1,152
ITL3,TLN0G,Fermanagh and Omagh,2009,26.6,103.1
UK,UKX,United Kingdom less Extra-Regio,2010,29.8,95.4
Other,TLB,England,2010,30.3,96
ITL1,TLC,North East,2010,25.9,90.7
ITL2,TLC1,Tees Valley and Durham,2010,26.8,94.7
ITL3,TLC11,Hartlepool and Stockton-on-Tees,2010,29.1,96.2
ITL3,TLC12,South Teesside,2010,24.3,98.5
ITL3,TLC13,Darlington,2010,25.5,59.9
ITL3,TLC14,Durham CC,2010,27.1,107.7
ITL2,TLC2,"Northumberland, and Tyne and Wear",2010,25.4,88
ITL3,TLC21,Northumberland,2010,22.7,91.6
ITL3,TLC22,Tyneside,2010,25.2,86.3
ITL3,TLC23,Sunderland,2010,28.5,88.9
ITL1,TLD,North West,2010,27.4,97.5
ITL2,TLD1,Cumbria,2010,24.9,88.7
ITL3,TLD11,West Cumbria,2010,25,92.3
ITL3,TLD12,East Cumbria,2010,24.9,89.1
ITL2,TLD3,Greater Manchester,2010,27.2,95.8
ITL3,TLD33,Manchester,2010,30.7,99.4
ITL3,TLD34,Greater Manchester South West,2010,29.7,90.5
ITL3,TLD35,Greater Manchester South East,2010,25.6,103.6
ITL3,TLD36,Greater Manchester North West,2010,23.9,100.6
ITL3,TLD37,Greater Manchester North East,2010,23.6,95.1
ITL2,TLD4,Lancashire,2010,24.8,93.8
ITL3,TLD41,Blackburn with Darwen,2010,22.2,89.4
ITL3,TLD42,Blackpool,2010,20.7,96.3
ITL3,TLD44,Lancaster and Wyre,2010,22.6,83.8
ITL3,TLD45,Mid Lancashire,2010,28.5,96.8
ITL3,TLD46,East Lancashire,2010,24.8,99.8
ITL3,TLD47,Chorley and West Lancashire,2010,23.1,89.2
ITL2,TLD6,Cheshire,2010,32.2,100.7
ITL3,TLD61,Warrington,2010,28,87.7
ITL3,TLD62,Cheshire East,2010,34.1,100.2
ITL3,TLD63,Cheshire West and Chester,2010,33.4,108.9
ITL2,TLD7,Merseyside,2010,28.1,107.3
ITL3,TLD71,East Merseyside,2010,29.2,106
ITL3,TLD72,Liverpool,2010,29.5,114.9
ITL3,TLD73,Sefton,2010,24.5,104.6
ITL3,TLD74,Wirral,2010,26,100.3
ITL1,TLE,Yorkshire and The Humber,2010,25.9,95.6
ITL2,TLE1,East Yorkshire and Northern Lincolnshire,2010,26.6,96.3
ITL3,TLE11,"Kingston upon Hull, City of",2010,27,108.1
ITL3,TLE12,East Riding of Yorkshire,2010,26.6,94.8
ITL3,TLE13,North and North East Lincolnshire,2010,26.3,94.7
ITL2,TLE2,North Yorkshire,2010,26.3,93.3
ITL3,TLE21,York,2010,30.4,98.1
ITL3,TLE22,North Yorkshire CC,2010,24.8,89.2
ITL2,TLE3,South Yorkshire,2010,24.6,97.9
ITL3,TLE31,"Barnsley, Doncaster and Rotherham",2010,22.4,93.5
ITL3,TLE32,Sheffield,2010,27.2,98.9
ITL2,TLE4,West Yorkshire,2010,26.2,95
ITL3,TLE41,Bradford,2010,23.8,99.1
ITL3,TLE42,Leeds,2010,30.9,100.8
ITL3,TLE44,Calderdale and Kirklees,2010,21.7,86.9
ITL3,TLE45,Wakefield,2010,24.2,92.7
ITL1,TLF,East Midlands,2010,25.5,96.2
ITL2,TLF1,Derbyshire and Nottinghamshire,2010,25.9,98.2
ITL3,TLF11,Derby,2010,32.5,129.2
ITL3,TLF12,East Derbyshire,2010,24.5,88.6
ITL3,TLF13,South and West Derbyshire,2010,24.1,94.2
ITL3,TLF14,Nottingham,2010,25.2,88.9
ITL3,TLF15,North Nottinghamshire,2010,24.1,103
ITL3,TLF16,South Nottinghamshire,2010,27.5,86.5
ITL2,TLF2,"Leicestershire, Rutland and Northamptonshire",2010,25.8,96.6
ITL3,TLF21,Leicester,2010,24.4,90.6
ITL3,TLF22,Leicestershire CC and Rutland,2010,28.1,103.6
ITL3,TLF24,West Northamptonshire,2010,25.1,89.6
ITL3,TLF25,North Northamptonshire,2010,23.7,111.4
ITL2,TLF3,Lincolnshire,2010,23.5,89.3
ITL3,TLF30,Lincolnshire CC,2010,23.5,89.7
ITL1,TLG,West Midlands,2010,25.6,93.8
ITL2,TLG1,"Herefordshire, Worcestershire and Warwickshire",2010,25.5,87.4
ITL3,TLG11,"Herefordshire, County of",2010,20.1,88.7
ITL3,TLG12,Worcestershire CC,2010,25.4,93.5
ITL3,TLG13,Warwickshire CC,2010,27.3,87.1
ITL2,TLG2,Shropshire and Staffordshire,2010,24.8,96.4
ITL3,TLG21,Telford and Wrekin,2010,25.5,93.6
ITL3,TLG22,Shropshire CC,2010,23.7,101.2
ITL3,TLG23,Stoke-on-Trent,2010,23.8,85.2
ITL3,TLG24,Staffordshire CC,2010,25.3,100.3
ITL2,TLG3,West Midlands,2010,26.1,96
ITL3,TLG31,Birmingham,2010,26.8,99.9
ITL3,TLG32,Solihull,2010,35.4,102.4
ITL3,TLG33,Coventry,2010,30.7,102.5
ITL3,TLG36,Dudley,2010,22.1,96.1
ITL3,TLG37,Sandwell,2010,23.4,95.7
ITL3,TLG38,Walsall,2010,22.1,97.6
ITL3,TLG39,Wolverhampton,2010,20.7,83.2
ITL1,TLH,East,2010,28.4,96.8
ITL2,TLH1,East Anglia,2010,27.4,93.8
ITL3,TLH11,Peterborough,2010,30.3,103.3
ITL3,TLH12,Cambridgeshire CC,2010,29.1,96.7
ITL3,TLH14,Suffolk CC,2010,27.6,90.6
ITL3,TLH15,Norwich and East Norfolk,2010,24.7,83.3
ITL3,TLH16,North and West Norfolk,2010,24.6,100.5
ITL3,TLH17,Breckland and South Norfolk,2010,25.7,102.1
ITL2,TLH2,Bedfordshire and Hertfordshire,2010,30,99.1
ITL3,TLH21,Luton,2010,28.8,92.7
ITL3,TLH23,Hertfordshire CC,2010,31.1,99.5
ITL3,TLH24,Bedford,2010,27,97.8
ITL3,TLH25,Central Bedfordshire,2010,26.7,108.7
ITL2,TLH3,Essex,2010,28,99.1
ITL3,TLH31,Southend-on-Sea,2010,23.1,111.5
ITL3,TLH32,Thurrock,2010,29.8,95.1
ITL3,TLH34,Essex Haven Gateway,2010,25.6,92.6
ITL3,TLH35,West Essex,2010,31.7,122
ITL3,TLH36,Heart of Essex,2010,28.7,86.6
ITL3,TLH37,Essex Thames Gateway,2010,28.5,101.1
ITL1,TLI,London,2010,40.5,99.4
ITL2,TLI3,Inner London - West,2010,44.8,97.3
ITL3,TLI31,Camden and City of London,2010,55.1,112
ITL3,TLI32,Westminster,2010,42.3,89.1
ITL3,TLI33,Kensington & Chelsea and Hammersmith & Fulham,2010,29.6,81
ITL3,TLI34,Wandsworth,2010,27.3,99.9
ITL2,TLI4,Inner London - East,2010,41.2,106.5
ITL3,TLI41,Hackney and Newham,2010,30.1,96.7
ITL3,TLI42,Tower Hamlets,2010,64.5,128.4
ITL3,TLI43,Haringey and Islington,2010,38.9,92.5
ITL3,TLI44,Lewisham and Southwark,2010,32.2,104.1
ITL3,TLI45,Lambeth,2010,39.3,105.3
ITL2,TLI5,Outer London - East and North East,2010,35.4,107.7
ITL3,TLI51,Bexley and Greenwich,2010,39.4,109.4
ITL3,TLI52,Barking & Dagenham and Havering,2010,35.6,107.3
ITL3,TLI53,Redbridge and Waltham Forest,2010,32.6,115.4
ITL3,TLI54,Enfield,2010,33.6,100.2
ITL2,TLI6,Outer London - South,2010,34.9,98.4
ITL3,TLI61,Bromley,2010,37.1,109.1
ITL3,TLI62,Croydon,2010,35.3,83.3
ITL3,TLI63,"Merton, Kingston upon Thames and Sutton",2010,33.7,104.7
ITL2,TLI7,Outer London - West and North West,2010,35.9,95.2
ITL3,TLI71,Barnet,2010,29.6,96.2
ITL3,TLI72,Brent,2010,32.4,98.3
ITL3,TLI73,Ealing,2010,31.8,98.8
ITL3,TLI74,Harrow and Hillingdon,2010,34.3,94.1
ITL3,TLI75,Hounslow and Richmond upon Thames,2010,46,97.4
ITL1,TLJ,South East,2010,32.5,95.5
ITL2,TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2010,35.8,94
ITL3,TLJ11,Berkshire,2010,40.8,81.3
ITL3,TLJ12,Milton Keynes,2010,34.4,93.1
ITL3,TLJ13,Buckinghamshire CC,2010,33.3,111.8
ITL3,TLJ14,Oxfordshire CC,2010,30.7,107.7
ITL2,TLJ2,"Surrey, East and West Sussex",2010,31.7,97.7
ITL3,TLJ21,Brighton and Hove,2010,27.8,86
ITL3,TLJ22,East Sussex CC,2010,22.1,99.8
ITL3,TLJ25,West Surrey,2010,35.6,93.5
ITL3,TLJ26,East Surrey,2010,42.5,120.5
ITL3,TLJ27,West Sussex (South West),2010,27.5,94.5
ITL3,TLJ28,West Sussex (North East),2010,29.5,96.2
ITL2,TLJ3,Hampshire and Isle of Wight,2010,32.4,92.2
ITL3,TLJ31,Portsmouth,2010,28.4,83.9
ITL3,TLJ32,Southampton,2010,35.2,95.7
ITL3,TLJ34,Isle of Wight,2010,24.3,101.9
ITL3,TLJ35,South Hampshire,2010,29.8,97.4
ITL3,TLJ36,Central Hampshire,2010,29.7,87.9
ITL3,TLJ37,North Hampshire,2010,42.3,85.5
ITL2,TLJ4,Kent,2010,28.3,99.8
ITL3,TLJ41,Medway,2010,29.2,87.8
ITL3,TLJ43,Kent Thames Gateway,2010,27.3,94.6
ITL3,TLJ44,East Kent,2010,26.5,109.4
ITL3,TLJ45,Mid Kent,2010,25.2,101.7
ITL3,TLJ46,West Kent,2010,33.5,102.9
ITL1,TLK,South West,2010,27.2,97.5
ITL2,TLK1,"Gloucestershire, Wiltshire and Bath/Bristol Area",2010,30.4,100.2
ITL3,TLK11,"Bristol, City of",2010,27.9,107.9
ITL3,TLK12,"Bath and North East Somerset, North Somerset and South Gloucestershire",2010,30.3,90.6
ITL3,TLK13,Gloucestershire CC,2010,29.3,100.1
ITL3,TLK14,Swindon,2010,40.8,95.2
ITL3,TLK15,Wiltshire,2010,29.2,107.4
ITL2,TLK2,Dorset and Somerset,2010,25.3,99.7
ITL3,TLK23,Somerset CC,2010,24.2,100.8
ITL3,TLK24,"Bournemouth, Christchurch and Poole",2010,27.7,102.4
ITL3,TLK25,Dorset,2010,24.4,99.5
ITL2,TLK3,Cornwall and Isles of Scilly,2010,21.5,85.5
ITL3,TLK30,Cornwall and Isles of Scilly,2010,21.5,86
ITL2,TLK4,Devon,2010,24.9,94.7
ITL3,TLK41,Plymouth,2010,26.5,100.5
ITL3,TLK42,Torbay,2010,22.4,119.4
ITL3,TLK43,Devon CC,2010,24.8,91.8
ITL1,TLL,Wales,2010,24.6,90.9
ITL2,TLL1,West Wales and The Valleys,2010,23.5,89.3
ITL3,TLL11,Isle of Anglesey,2010,22.5,94.9
ITL3,TLL12,Gwynedd,2010,21.8,91.9
ITL3,TLL13,Conwy and Denbighshire,2010,20.6,95.6
ITL3,TLL14,South West Wales,2010,20.9,87.9
ITL3,TLL15,Central Valleys,2010,26.5,90.2
ITL3,TLL16,Gwent Valleys,2010,23.3,85.7
ITL3,TLL17,Bridgend and Neath Port Talbot,2010,25.5,87.7
ITL3,TLL18,Swansea,2010,26.1,86.5
