itl,year,parent,GVA/H current,GVA/H volume,jobs,hours,GVA/worker current,growth,LN average growth,LN total growth,Perc total growth,ITL1 GVA/H,ITL1 average,ITL1 LN total growth,ITL1 Perc total growth,UKX GVA/H,UKX average,UKX LN total growth,UKX Perc total growth,UKX GVA/worker,ITL1 tax,UK tax
TLC22,2005,TLC,22.3,85.5,387386.0,12551010.0,33119.7,-0.016241656328631393,-0.016241656328631393,-0.016241656328631393,-0.01611047180667391,22.6,0.005558658003828043,0.005558658003828043,0.005574136008919206,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9,Falling behind,Falling behind
TLC23,2005,TLC,25.0,84.8,117169.0,3818466.0,36601.5,-0.06173388427072091,-0.06173388427072091,-0.06173388427072091,-0.05986696230598698,22.6,0.005558658003828043,0.005558658003828043,0.005574136008919206,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9,Losing ground,Falling behind
TLD11,2005,TLD,22.8,105.9,101019.0,2781883.0,32606.5,0.06838601397869404,0.06838601397869404,0.06838601397869404,0.0707785642062686,23.6,0.01709443335930061,0.01709443335930061,0.017241379310345417,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9,Catching up,Catching up
TLD12,2005,TLD,22.4,101.7,141753.0,3915847.0,32425.6,0.11778303565638293,0.11778303565638293,0.11778303565638293,0.12499999999999933,23.6,0.01709443335930061,0.01709443335930061,0.017241379310345417,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9,Catching up,Catching up
TLD33,2005,TLD,24.4,91.8,318404.0,10198183.0,36984.5,0.07578526204711622,0.07578526204711622,0.07578526204711622,0.07873090481786127,23.6,0.01709443335930061,0.01709443335930061,0.017241379310345417,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9,Steaming ahead,Catching up
TLD34,2005,TLD,25.5,87.6,249046.0,7899977.0,38652.4,0.03721359634043431,0.03721359634043431,0.03721359634043431,0.03791469194312791,23.6,0.01709443335930061,0.01709443335930061,0.017241379310345417,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9,Steaming ahead,Steaming ahead
TLD35,2005,TLD,21.2,91.9,203965.0,6650983.0,32772.0,0.008743225095729557,0.008743225095729557,0.008743225095729557,0.008781558726674854,23.6,0.01709443335930061,0.01709443335930061,0.017241379310345417,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9,Falling behind,Falling behind
TLD36,2005,TLD,20.6,95.2,224003.0,7220567.0,30566.0,-0.08359167090810349,-0.08359167090810349,-0.08359167090810349,-0.08019323671497525,23.6,0.01709443335930061,0.01709443335930061,0.017241379310345417,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9,Falling behind,Falling behind
TLD37,2005,TLD,20.5,88.6,238067.0,7125674.0,29793.6,0.0067950431328283045,0.0067950431328283045,0.0067950431328283045,0.00681818181818139,23.6,0.01709443335930061,0.01709443335930061,0.017241379310345417,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9,Falling behind,Falling behind
TLD41,2005,TLD,18.7,85.0,65267.0,1994450.0,27869.0,0.04573600932268462,0.04573600932268462,0.04573600932268462,0.0467980295566508,23.6,0.01709443335930061,0.01709443335930061,0.017241379310345417,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9,Catching up,Catching up
TLD42,2005,TLD,18.5,95.3,60171.0,1836444.0,25869.6,0.0010498688628368669,0.0010498688628368669,0.0010498688628368669,0.0010504201680672232,23.6,0.01709443335930061,0.01709443335930061,0.017241379310345417,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9,Falling behind,Falling behind
TLD44,2005,TLD,22.5,95.8,96062.0,2846940.0,30269.2,-0.08212821416455807,-0.08212821416455807,-0.08212821416455807,-0.07884615384615412,23.6,0.01709443335930061,0.01709443335930061,0.017241379310345417,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9,Falling behind,Falling behind
TLD45,2005,TLD,27.2,102.0,212189.0,6899370.0,41850.3,-0.02229854872245607,-0.02229854872245607,-0.02229854872245607,-0.02205177372962641,23.6,0.01709443335930061,0.01709443335930061,0.017241379310345417,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9,Losing ground,Losing ground
TLD46,2005,TLD,21.3,94.8,127143.0,3995886.0,32601.3,0.04973998219239828,0.04973998219239828,0.04973998219239828,0.050997782705100025,23.6,0.01709443335930061,0.01709443335930061,0.017241379310345417,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9,Catching up,Catching up
TLD47,2005,TLD,20.4,87.7,85536.0,2859051.0,31846.8,-0.04569039824830767,-0.04569039824830767,-0.04569039824830767,-0.04466230936819193,23.6,0.01709443335930061,0.01709443335930061,0.017241379310345417,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9,Falling behind,Falling behind
TLD61,2005,TLD,25.8,84.8,112811.0,3834365.0,40183.5,-0.04946379167890669,-0.04946379167890669,-0.04946379167890669,-0.048260381593715374,23.6,0.01709443335930061,0.01709443335930061,0.017241379310345417,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9,Losing ground,Losing ground
TLD62,2005,TLD,31.2,110.7,176536.0,5284649.0,45099.8,0.07209485148495531,0.07209485148495531,0.07209485148495531,0.07475728155339789,23.6,0.01709443335930061,0.01709443335930061,0.017241379310345417,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9,Steaming ahead,Steaming ahead
TLD63,2005,TLD,26.1,101.5,160518.0,4709679.0,38798.4,0.07889394246966308,0.07889394246966308,0.07889394246966308,0.0820895522388061,23.6,0.01709443335930061,0.01709443335930061,0.017241379310345417,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9,Steaming ahead,Steaming ahead
TLD71,2005,TLD,25.7,103.4,170705.0,5244997.0,39328.6,0.057727468655281555,0.057727468655281555,0.057727468655281555,0.059426229508196204,23.6,0.01709443335930061,0.01709443335930061,0.017241379310345417,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9,Steaming ahead,Steaming ahead
TLD72,2005,TLD,24.6,107.7,229088.0,7384686.0,36212.3,-0.031081112483241746,-0.031081112483241746,-0.031081112483241746,-0.030603060306030883,23.6,0.01709443335930061,0.01709443335930061,0.017241379310345417,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9,Losing ground,Falling behind
TLD73,2005,TLD,18.5,88.9,111741.0,3201460.0,25924.0,-0.002247191956905148,-0.002247191956905148,-0.002247191956905148,-0.002244668911336012,23.6,0.01709443335930061,0.01709443335930061,0.017241379310345417,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9,Falling behind,Falling behind
TLD74,2005,TLD,22.7,97.0,111992.0,3284461.0,31423.0,-0.08778427410397782,-0.08778427410397782,-0.08778427410397782,-0.08404154863078361,23.6,0.01709443335930061,0.01709443335930061,0.017241379310345417,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9,Falling behind,Falling behind
TLE11,2005,TLE,19.9,94.7,124936.0,4038590.0,31397.4,0.056475374911222787,0.056475374911222787,0.056475374911222787,0.058100558659217816,22.5,0.0,0.0,0.0,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9,Catching up,Catching up
TLE12,2005,TLE,26.5,113.3,127104.0,3661589.0,38045.6,0.01691184054077688,0.01691184054077688,0.01691184054077688,0.017055655296229766,22.5,0.0,0.0,0.0,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9,Steaming ahead,Steaming ahead
TLE13,2005,TLE,22.9,94.0,141964.0,4582616.0,34308.1,-0.021053409197832273,-0.021053409197832273,-0.021053409197832273,-0.02083333333333326,22.5,0.0,0.0,0.0,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9,Losing ground,Falling behind
TLE21,2005,TLE,29.5,112.1,108558.0,3113286.0,42033.2,0.006264002584930317,0.006264002584930317,0.006264002584930317,0.006283662477558183,22.5,0.0,0.0,0.0,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9,Steaming ahead,Losing ground
TLE22,2005,TLE,23.4,97.2,289934.0,8679803.0,33496.0,-0.08949457388150872,-0.08949457388150872,-0.08949457388150872,-0.0856067732831608,22.5,0.0,0.0,0.0,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9,Losing ground,Falling behind
TLE31,2005,TLE,19.0,91.0,292269.0,9572322.0,29157.3,-0.01850896605495933,-0.01850896605495933,-0.01850896605495933,-0.01833872707659101,22.5,0.0,0.0,0.0,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9,Falling behind,Falling behind
TLE32,2005,TLE,22.5,91.7,256401.0,8175852.0,33687.4,-0.017297728590878414,-0.017297728590878414,-0.017297728590878414,-0.017148981779206318,22.5,0.0,0.0,0.0,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9,Losing ground,Falling behind
TLE41,2005,TLE,20.3,95.1,209721.0,6557505.0,30384.0,0.0010520779508036426,0.0010520779508036426,0.0010520779508036426,0.001052631578947194,22.5,0.0,0.0,0.0,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9,Catching up,Falling behind
TLE42,2005,TLE,25.7,96.0,416883.0,13565622.0,38541.3,0.036059049815702515,0.036059049815702515,0.036059049815702515,0.036717062634989084,22.5,0.0,0.0,0.0,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9,Steaming ahead,Steaming ahead
TLE44,2005,TLE,18.8,88.3,252405.0,8035968.0,28467.2,0.04992330876660134,0.04992330876660134,0.04992330876660134,0.0511904761904769,22.5,0.0,0.0,0.0,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9,Catching up,Catching up
TLE45,2005,TLE,22.8,100.2,136177.0,4533162.0,36003.2,-0.036260709454417395,-0.036260709454417395,-0.036260709454417395,-0.03561116458132829,22.5,0.0,0.0,0.0,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9,Losing ground,Falling behind
TLF11,2005,TLF,27.5,125.8,119168.0,3902823.0,40417.4,0.025766320764229356,0.025766320764229356,0.025766320764229356,0.026101141924959492,22.0,-0.027602601666891324,-0.027602601666891324,-0.027225130890051963,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9,Steaming ahead,Steaming ahead
TLF12,2005,TLF,22.7,97.2,107850.0,3029547.0,32520.7,0.09376815945250971,0.09376815945250971,0.09376815945250971,0.09830508474576294,22.0,-0.027602601666891324,-0.027602601666891324,-0.027225130890051963,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9,Steaming ahead,Catching up
TLF13,2005,TLF,20.9,86.7,196913.0,6444198.0,31518.9,-0.036244057691078524,-0.036244057691078524,-0.036244057691078524,-0.035595105672970084,22.0,-0.027602601666891324,-0.027602601666891324,-0.027225130890051963,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9,Falling behind,Falling behind
TLF14,2005,TLF,20.6,90.5,189980.0,6197411.0,30944.6,-0.0033094349013671476,-0.0033094349013671476,-0.0033094349013671476,-0.0033039647577092213,22.0,-0.027602601666891324,-0.027602601666891324,-0.027225130890051963,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9,Catching up,Falling behind
TLF15,2005,TLF,21.7,102.4,171329.0,5741105.0,33641.4,-0.055094653806974314,-0.055094653806974314,-0.055094653806974314,-0.05360443622920574,22.0,-0.027602601666891324,-0.027602601666891324,-0.027225130890051963,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9,Falling behind,Falling behind
TLF16,2005,TLF,23.5,83.4,108835.0,3537627.0,35082.2,-0.03765150620368818,-0.03765150620368818,-0.03765150620368818,-0.03695150115473422,22.0,-0.027602601666891324,-0.027602601666891324,-0.027225130890051963,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9,Losing ground,Falling behind
TLF21,2005,TLF,19.1,77.4,169077.0,5369898.0,28111.8,-0.035536734276787385,-0.035536734276787385,-0.035536734276787385,-0.034912718204488824,22.0,-0.027602601666891324,-0.027602601666891324,-0.027225130890051963,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9,Falling behind,Falling behind
TLF22,2005,TLF,24.1,97.3,288217.0,9605472.0,37326.6,-0.050110683765622,-0.050110683765622,-0.050110683765622,-0.04887585532746874,22.0,-0.027602601666891324,-0.027602601666891324,-0.027225130890051963,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9,Losing ground,Falling behind
TLF24,2005,TLF,21.6,88.4,194779.0,6623790.0,33808.6,-0.05715841383994835,-0.05715841383994835,-0.05715841383994835,-0.05555555555555536,22.0,-0.027602601666891324,-0.027602601666891324,-0.027225130890051963,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9,Falling behind,Falling behind
TLF25,2005,TLF,20.7,107.6,129680.0,4247913.0,32818.5,0.006526829696684722,0.006526829696684722,0.006526829696684722,0.006548175865294992,22.0,-0.027602601666891324,-0.027602601666891324,-0.027225130890051963,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9,Catching up,Falling behind
TLF30,2005,TLF,21.5,91.3,293195.0,9174293.0,33275.1,-0.0584962066816086,-0.0584962066816086,-0.0584962066816086,-0.05681818181818188,22.0,-0.027602601666891324,-0.027602601666891324,-0.027225130890051963,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9,Falling behind,Falling behind
TLG11,2005,TLG,19.2,96.2,84400.0,2677431.0,30913.8,-0.033728286492886284,-0.033728286492886284,-0.033728286492886284,-0.03316582914572863,22.3,-0.0010851873012871494,-0.0010851873012871494,-0.0010845986984817646,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9,Falling behind,Falling behind
TLG12,2005,TLG,21.3,85.7,259551.0,8384253.0,32826.2,-0.056704531517357104,-0.056704531517357104,-0.056704531517357104,-0.05512679162072798,22.3,-0.0010851873012871494,-0.0010851873012871494,-0.0010845986984817646,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9,Falling behind,Falling behind
TLG13,2005,TLG,25.3,93.5,246228.0,7945523.0,39477.2,0.047080396708677696,0.047080396708677696,0.047080396708677696,0.04820627802690591,22.3,-0.0010851873012871494,-0.0010851873012871494,-0.0010845986984817646,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9,Steaming ahead,Catching up
TLG21,2005,TLG,22.3,96.6,79974.0,2499428.0,33570.9,0.029413885206293955,0.029413885206293955,0.029413885206293955,0.02985074626865747,22.3,-0.0010851873012871494,-0.0010851873012871494,-0.0010845986984817646,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9,Steaming ahead,Catching up
TLG22,2005,TLG,21.5,109.0,133494.0,3847091.0,31017.5,0.029797362804944605,0.029797362804944605,0.029797362804944605,0.0302457466918713,22.3,-0.0010851873012871494,-0.0010851873012871494,-0.0010845986984817646,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9,Catching up,Catching up
TLG23,2005,TLG,20.1,83.2,114842.0,3392785.0,29317.4,0.0492710490067827,0.0492710490067827,0.0492710490067827,0.050505050505050386,22.3,-0.0010851873012871494,-0.0010851873012871494,-0.0010845986984817646,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9,Catching up,Catching up
TLG24,2005,TLG,22.7,102.1,350934.0,10794919.0,34067.6,0.026800611508090988,0.026800611508090988,0.026800611508090988,0.027162977867202676,22.3,-0.0010851873012871494,-0.0010851873012871494,-0.0010845986984817646,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9,Steaming ahead,Catching up
TLG31,2005,TLG,21.7,91.9,516022.0,16236665.0,33073.4,0.024230260296891792,0.024230260296891792,0.024230260296891792,0.024526198439242863,22.3,-0.0010851873012871494,-0.0010851873012871494,-0.0010845986984817646,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9,Catching up,Catching up
TLG32,2005,TLG,29.2,94.5,112560.0,3421553.0,44738.9,-0.002114165692335135,-0.002114165692335135,-0.002114165692335135,-0.00211193241816221,22.3,-0.0010851873012871494,-0.0010851873012871494,-0.0010845986984817646,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9,Losing ground,Losing ground
TLG33,2005,TLG,26.2,98.0,151430.0,4680391.0,38657.9,-0.011161962665370062,-0.011161962665370062,-0.011161962665370062,-0.011099899091826071,22.3,-0.0010851873012871494,-0.0010851873012871494,-0.0010845986984817646,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9,Losing ground,Losing ground
TLG36,2005,TLG,19.2,93.5,133144.0,4112476.0,28461.6,-0.06219620786990543,-0.06219620786990543,-0.06219620786990543,-0.06030150753768815,22.3,-0.0010851873012871494,-0.0010851873012871494,-0.0010845986984817646,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9,Falling behind,Falling behind
TLG37,2005,TLG,21.5,96.6,129091.0,4165683.0,32471.3,-0.14254858627471112,-0.14254858627471112,-0.14254858627471112,-0.13285457809694778,22.3,-0.0010851873012871494,-0.0010851873012871494,-0.0010845986984817646,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9,Falling behind,Falling behind
TLG38,2005,TLG,17.5,91.4,107251.0,3556983.0,27671.8,0.0021905813798186458,0.0021905813798186458,0.0021905813798186458,0.002192982456140413,22.3,-0.0010851873012871494,-0.0010851873012871494,-0.0010845986984817646,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9,Catching up,Falling behind
TLG39,2005,TLG,21.9,104.5,110068.0,3362332.0,33468.5,-0.010471299867295336,-0.010471299867295336,-0.010471299867295336,-0.01041666666666663,22.3,-0.0010851873012871494,-0.0010851873012871494,-0.0010845986984817646,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9,Falling behind,Falling behind
TLH11,2005,TLH,27.5,101.2,99848.0,3181202.0,39802.9,0.03213127818279293,0.03213127818279293,0.03213127818279293,0.03265306122448952,25.0,0.019272545121031825,0.019272545121031825,0.01945945945945904,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9,Steaming ahead,Steaming ahead
TLH12,2005,TLH,25.7,97.9,293054.0,9235602.0,39252.5,-0.032163576489961265,-0.032163576489961265,-0.032163576489961265,-0.03165182987141468,25.0,0.019272545121031825,0.019272545121031825,0.01945945945945904,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9,Losing ground,Losing ground
TLH14,2005,TLH,23.9,88.5,319896.0,9963175.0,36097.9,0.06055400284108625,0.06055400284108625,0.06055400284108625,0.06242496998799463,25.0,0.019272545121031825,0.019272545121031825,0.01945945945945904,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9,Catching up,Catching up
TLH15,2005,TLH,19.1,71.7,180333.0,5769321.0,28746.1,-0.032924784696466425,-0.032924784696466425,-0.032924784696466425,-0.0323886639676112,25.0,0.019272545121031825,0.019272545121031825,0.01945945945945904,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9,Falling behind,Falling behind
TLH16,2005,TLH,22.2,107.6,97285.0,2806056.0,31961.3,0.030190972279145356,0.030190972279145356,0.030190972279145356,0.030651340996168175,25.0,0.019272545121031825,0.019272545121031825,0.01945945945945904,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9,Catching up,Catching up
TLH17,2005,TLH,22.9,105.4,92749.0,2809186.0,33654.1,0.027899837528798876,0.027899837528798876,0.027899837528798876,0.02829268292682907,25.0,0.019272545121031825,0.019272545121031825,0.01945945945945904,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9,Catching up,Catching up
TLH21,2005,TLH,23.9,79.5,90240.0,3142599.0,39996.0,-0.046691527512511044,-0.046691527512511044,-0.046691527512511044,-0.045618247298919834,25.0,0.019272545121031825,0.019272545121031825,0.01945945945945904,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9,Falling behind,Falling behind
TLH23,2005,TLH,29.1,103.3,554664.0,17238845.0,43086.2,0.03046918747482863,0.03046918747482863,0.03046918747482863,0.030938123752495272,25.0,0.019272545121031825,0.019272545121031825,0.01945945945945904,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9,Steaming ahead,Steaming ahead
TLH24,2005,TLH,21.6,89.7,75552.0,2522356.0,34788.6,0.0011154490838656272,0.0011154490838656272,0.0011154490838656272,0.0011160714285713969,25.0,0.019272545121031825,0.019272545121031825,0.01945945945945904,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9,Falling behind,Falling behind
TLH25,2005,TLH,23.3,98.2,95048.0,3160538.0,37497.9,-0.022155991897209404,-0.022155991897209404,-0.022155991897209404,-0.02191235059761032,25.0,0.019272545121031825,0.019272545121031825,0.01945945945945904,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9,Falling behind,Falling behind
TLH31,2005,TLH,19.1,95.2,75001.0,2294234.0,26609.3,-0.09320712960754562,-0.09320712960754562,-0.09320712960754562,-0.0889952153110044,25.0,0.019272545121031825,0.019272545121031825,0.01945945945945904,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9,Falling behind,Falling behind
TLH32,2005,TLH,26.8,98.3,61785.0,1986725.0,41756.3,0.0257613421763061,0.0257613421763061,0.0257613421763061,0.02609603340292277,25.0,0.019272545121031825,0.019272545121031825,0.01945945945945904,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9,Steaming ahead,Steaming ahead
TLH34,2005,TLH,21.7,88.9,183788.0,5277235.0,31944.3,0.07471384917922386,0.07471384917922386,0.07471384917922386,0.07757575757575785,25.0,0.019272545121031825,0.019272545121031825,0.01945945945945904,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9,Catching up,Catching up
TLH35,2005,TLH,28.8,119.7,133338.0,3774314.0,41931.3,0.05318577564247029,0.05318577564247029,0.05318577564247029,0.05462555066079311,25.0,0.019272545121031825,0.019272545121031825,0.01945945945945904,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9,Steaming ahead,Steaming ahead
TLH36,2005,TLH,25.8,88.1,143939.0,4427330.0,39507.7,0.04527761169385247,0.04527761169385247,0.04527761169385247,0.04631828978622288,25.0,0.019272545121031825,0.019272545121031825,0.01945945945945904,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9,Steaming ahead,Steaming ahead
TLH37,2005,TLH,25.6,97.4,126193.0,4006912.0,39982.3,0.006179216365957529,0.006179216365957529,0.006179216365957529,0.006198347107437385,25.0,0.019272545121031825,0.019272545121031825,0.01945945945945904,25.4,0.011148387482614375,0.011148387482614375,0.011210762331838708,38311.9,Losing ground,Losing ground
