level,itl,name,year,Population
ITL1,TLJ,South East,2015,5755628.0
ITL1,TLK,South West,2015,3465821.0
ITL1,TLL,Wales,2015,1892679.0
ITL1,TLM,Scotland,2015,3494517.0
ITL1,TLN,Northern Ireland,2015,1187162.0
ITL1,TLC,North East,2016,1634753.0
ITL1,TLD,North West,2016,4637655.0
ITL1,TLE,Yorkshire and The Humber,2016,3415446.0
ITL1,TLF,East Midlands,2016,3041353.0
ITL1,TLG,West Midlands,2016,3683186.0
ITL1,TLH,East,2016,3910749.0
ITL1,TLI,London,2016,6055727.0
ITL1,TLJ,South East,2016,5755628.0
ITL1,TLK,South West,2016,3465821.0
ITL1,TLL,Wales,2016,1892679.0
ITL1,TLM,Scotland,2016,3494517.0
ITL1,TLN,Northern Ireland,2016,1187162.0
ITL1,TLC,North East,2017,1634753.0
ITL1,TLD,North West,2017,4637655.0
ITL1,TLE,Yorkshire and The Humber,2017,3415446.0
ITL1,TLF,East Midlands,2017,3041353.0
ITL1,TLG,West Midlands,2017,3683186.0
ITL1,TLH,East,2017,3910749.0
ITL1,TLI,London,2017,6055727.0
ITL1,TLJ,South East,2017,5755628.0
ITL1,TLK,South West,2017,3465821.0
ITL1,TLL,Wales,2017,1892679.0
ITL1,TLM,Scotland,2017,3494517.0
ITL1,TLN,Northern Ireland,2017,1187162.0
ITL1,TLC,North East,2018,1634753.0
ITL1,TLD,North West,2018,4637655.0
ITL1,TLE,Yorkshire and The Humber,2018,3415446.0
ITL1,TLF,East Midlands,2018,3041353.0
ITL1,TLG,West Midlands,2018,3683186.0
ITL1,TLH,East,2018,3910749.0
ITL1,TLI,London,2018,6055727.0
ITL1,TLJ,South East,2018,5755628.0
ITL1,TLK,South West,2018,3465821.0
ITL1,TLL,Wales,2018,1892679.0
ITL1,TLM,Scotland,2018,3494517.0
ITL1,TLN,Northern Ireland,2018,1187162.0
ITL1,TLC,North East,2019,1634753.0
ITL1,TLD,North West,2019,4637655.0
ITL1,TLE,Yorkshire and The Humber,2019,3415446.0
ITL1,TLF,East Midlands,2019,3041353.0
ITL1,TLG,West Midlands,2019,3683186.0
ITL1,TLH,East,2019,3910749.0
ITL1,TLI,London,2019,6055727.0
ITL1,TLJ,South East,2019,5755628.0
ITL1,TLK,South West,2019,3465821.0
ITL1,TLL,Wales,2019,1892679.0
ITL1,TLM,Scotland,2019,3494517.0
ITL1,TLN,Northern Ireland,2019,1187162.0
ITL1,TLC,North East,2020,1634753.0
ITL1,TLD,North West,2020,4637655.0
ITL1,TLE,Yorkshire and The Humber,2020,3415446.0
ITL1,TLF,East Midlands,2020,3041353.0
ITL1,TLG,West Midlands,2020,3683186.0
ITL1,TLH,East,2020,3910749.0
ITL1,TLI,London,2020,6055727.0
ITL1,TLJ,South East,2020,5755628.0
ITL1,TLK,South West,2020,3465821.0
ITL1,TLL,Wales,2020,1892679.0
ITL1,TLM,Scotland,2020,3494517.0
ITL1,TLN,Northern Ireland,2020,1187162.0
ITL1,TLC,North East,2021,1634753.0
ITL1,TLD,North West,2021,4637655.0
ITL1,TLE,Yorkshire and The Humber,2021,3415446.0
ITL1,TLF,East Midlands,2021,3041353.0
ITL1,TLG,West Midlands,2021,3683186.0
ITL1,TLH,East,2021,3910749.0
ITL1,TLI,London,2021,6055727.0
ITL1,TLJ,South East,2021,5755628.0
ITL1,TLK,South West,2021,3465821.0
ITL1,TLL,Wales,2021,1892679.0
ITL1,TLM,Scotland,2021,3494517.0
ITL1,TLN,Northern Ireland,2021,1187162.0
ITL1,TLC,North East,2022,1634753.0
ITL1,TLD,North West,2022,4637655.0
ITL1,TLE,Yorkshire and The Humber,2022,3415446.0
ITL1,TLF,East Midlands,2022,3041353.0
ITL1,TLG,West Midlands,2022,3683186.0
ITL1,TLH,East,2022,3910749.0
ITL1,TLI,London,2022,6055727.0
ITL1,TLJ,South East,2022,5755628.0
ITL1,TLK,South West,2022,3465821.0
ITL1,TLL,Wales,2022,1892679.0
ITL1,TLM,Scotland,2022,3494517.0
ITL1,TLN,Northern Ireland,2022,1187162.0
ITL2,TLC1,Tees Valley and Durham,2004,743321.0
ITL2,TLC2,"Northumberland, and Tyne and Wear",2004,922401.0
ITL2,TLD1,Cumbria,2004,294473.0
ITL2,TLD3,Greater Manchester,2004,1811543.0
ITL2,TLD4,Lancashire,2004,922508.0
ITL2,TLD6,Cheshire,2004,564891.0
ITL2,TLD7,Merseyside,2004,979455.0
ITL2,TLE1,East Yorkshire and Northern Lincolnshire,2004,562640.0
ITL2,TLE2,North Yorkshire,2004,501652.0
ITL2,TLE3,South Yorkshire,2004,894503.0
ITL2,TLE4,West Yorkshire,2004,1473319.0
ITL2,TLF1,Derbyshire and Nottinghamshire,2004,1396007.0
ITL2,TLF2,"Leicestershire, Rutland and Northamptonshire",2004,1160426.0
ITL2,TLF3,Lincolnshire,2004,452175.0
ITL2,TLG1,"Herefordshire, Worcestershire and Warwickshire",2004,822920.0
ITL2,TLG2,Shropshire and Staffordshire,2004,999163.0
ITL2,TLG3,West Midlands,2004,1856259.0
ITL2,TLH1,East Anglia,2004,1508791.0
ITL2,TLH2,Bedfordshire and Hertfordshire,2004,1165957.0
ITL2,TLH3,Essex,2004,1125193.0
ITL2,TLI3,Inner London - West,2004,867019.0
ITL2,TLI4,Inner London - East,2004,1747798.0
ITL2,TLI5,Outer London - East and North East,2004,1244207.0
ITL2,TLI6,Outer London - South,2004,840906.0
ITL2,TLI7,Outer London - West and North West,2004,1350898.0
ITL2,TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2004,1506916.0
ITL2,TLJ2,"Surrey, East and West Sussex",2004,1766901.0
ITL2,TLJ3,Hampshire and Isle of Wight,2004,1225855.0
ITL2,TLJ4,Kent,2004,1131174.0
ITL2,TLK1,"Gloucestershire, Wiltshire and Bath/Bristol Area",2004,1575738.0
ITL2,TLK2,Dorset and Somerset,2004,773201.0
ITL2,TLK3,Cornwall and Isles of Scilly,2004,332588.0
ITL2,TLK4,Devon,2004,713081.0
ITL2,TLL1,West Wales and The Valleys,2004,1202658.0
ITL2,TLL2,East Wales,2004,735608.0
ITL2,TLM5,North Eastern Scotland,2004,316660.0
ITL2,TLM6,Highlands and Islands,2004,281898.0
ITL2,TLM7,Eastern Scotland,2004,1294762.0
ITL2,TLM8,West Central Scotland,2004,1025259.0
ITL2,TLM9,Southern Scotland,2004,574558.0
ITL2,TLN0,Northern Ireland,2004,
ITL2,TLC1,Tees Valley and Durham,2005,743321.0
ITL2,TLC2,"Northumberland, and Tyne and Wear",2005,922401.0
ITL2,TLD1,Cumbria,2005,294473.0
ITL2,TLD3,Greater Manchester,2005,1811543.0
ITL2,TLD4,Lancashire,2005,922508.0
ITL2,TLD6,Cheshire,2005,564891.0
ITL2,TLD7,Merseyside,2005,979455.0
ITL2,TLE1,East Yorkshire and Northern Lincolnshire,2005,562640.0
ITL2,TLE2,North Yorkshire,2005,501652.0
ITL2,TLE3,South Yorkshire,2005,894503.0
ITL2,TLE4,West Yorkshire,2005,1473319.0
ITL2,TLF1,Derbyshire and Nottinghamshire,2005,1396007.0
ITL2,TLF2,"Leicestershire, Rutland and Northamptonshire",2005,1160426.0
ITL2,TLF3,Lincolnshire,2005,452175.0
ITL2,TLG1,"Herefordshire, Worcestershire and Warwickshire",2005,822920.0
ITL2,TLG2,Shropshire and Staffordshire,2005,999163.0
ITL2,TLG3,West Midlands,2005,1856259.0
ITL2,TLH1,East Anglia,2005,1508791.0
ITL2,TLH2,Bedfordshire and Hertfordshire,2005,1165957.0
ITL2,TLH3,Essex,2005,1125193.0
ITL2,TLI3,Inner London - West,2005,867019.0
ITL2,TLI4,Inner London - East,2005,1747798.0
ITL2,TLI5,Outer London - East and North East,2005,1244207.0
ITL2,TLI6,Outer London - South,2005,840906.0
ITL2,TLI7,Outer London - West and North West,2005,1350898.0
ITL2,TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2005,1506916.0
ITL2,TLJ2,"Surrey, East and West Sussex",2005,1766901.0
ITL2,TLJ3,Hampshire and Isle of Wight,2005,1225855.0
ITL2,TLJ4,Kent,2005,1131174.0
ITL2,TLK1,"Gloucestershire, Wiltshire and Bath/Bristol Area",2005,1575738.0
ITL2,TLK2,Dorset and Somerset,2005,773201.0
ITL2,TLK3,Cornwall and Isles of Scilly,2005,332588.0
ITL2,TLK4,Devon,2005,713081.0
ITL2,TLL1,West Wales and The Valleys,2005,1202658.0
ITL2,TLL2,East Wales,2005,735608.0
ITL2,TLM5,North Eastern Scotland,2005,316660.0
ITL2,TLM6,Highlands and Islands,2005,281898.0
ITL2,TLM7,Eastern Scotland,2005,1294762.0
ITL2,TLM8,West Central Scotland,2005,1025259.0
ITL2,TLM9,Southern Scotland,2005,574558.0
ITL2,TLN0,Northern Ireland,2005,
ITL2,TLC1,Tees Valley and Durham,2006,743321.0
ITL2,TLC2,"Northumberland, and Tyne and Wear",2006,922401.0
ITL2,TLD1,Cumbria,2006,294473.0
ITL2,TLD3,Greater Manchester,2006,1811543.0
ITL2,TLD4,Lancashire,2006,922508.0
ITL2,TLD6,Cheshire,2006,564891.0
ITL2,TLD7,Merseyside,2006,979455.0
ITL2,TLE1,East Yorkshire and Northern Lincolnshire,2006,562640.0
ITL2,TLE2,North Yorkshire,2006,501652.0
ITL2,TLE3,South Yorkshire,2006,894503.0
ITL2,TLE4,West Yorkshire,2006,1473319.0
ITL2,TLF1,Derbyshire and Nottinghamshire,2006,1396007.0
ITL2,TLF2,"Leicestershire, Rutland and Northamptonshire",2006,1160426.0
ITL2,TLF3,Lincolnshire,2006,452175.0
ITL2,TLG1,"Herefordshire, Worcestershire and Warwickshire",2006,822920.0
ITL2,TLG2,Shropshire and Staffordshire,2006,999163.0
